Name,Link,event_dt,year,points,event_type
Kevin E.,https://www.mathraining.be/users/19949,2025-09-09,2025,75,problem
Kevin E.,https://www.mathraining.be/users/19949,2025-09-04,2025,75,problem
Kevin E.,https://www.mathraining.be/users/19949,2025-09-03,2025,45,problem
Kevin E.,https://www.mathraining.be/users/19949,2025-08-31,2025,6,exercise
Kevin E.,https://www.mathraining.be/users/19949,2025-08-31,2025,9,exercise
Kevin E.,https://www.mathraining.be/users/19949,2025-08-31,2025,6,exercise
Kevin E.,https://www.mathraining.be/users/19949,2025-08-18,2025,60,problem
Kevin E.,https://www.mathraining.be/users/19949,2025-08-16,2025,75,problem
Kevin E.,https://www.mathraining.be/users/19949,2025-08-15,2025,45,problem
Kevin E.,https://www.mathraining.be/users/19949,2025-07-30,2025,45,problem
Kevin E.,https://www.mathraining.be/users/19949,2025-06-05,2025,60,problem
Kevin E.,https://www.mathraining.be/users/19949,2025-05-01,2025,45,problem
Kevin E.,https://www.mathraining.be/users/19949,2025-03-28,2025,45,problem
Kevin E.,https://www.mathraining.be/users/19949,2025-03-01,2025,75,problem
Kevin E.,https://www.mathraining.be/users/19949,2025-02-02,2025,60,problem
Kevin E.,https://www.mathraining.be/users/19949,2025-01-09,2025,75,problem
Kevin E.,https://www.mathraining.be/users/19949,2025-01-03,2025,12,exercise
Kevin E.,https://www.mathraining.be/users/19949,2025-01-03,2025,12,exercise
Kevin E.,https://www.mathraining.be/users/19949,2025-01-02,2025,9,exercise
Kevin E.,https://www.mathraining.be/users/19949,2025-01-01,2025,45,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-12-15,2024,45,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-12-13,2024,60,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-12-01,2024,30,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-11-30,2024,30,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-11-29,2024,30,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-10-30,2024,60,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-09-29,2024,45,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-09-06,2024,60,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-09-01,2024,6,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-09-01,2024,60,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-08-31,2024,6,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-08-30,2024,45,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-08-27,2024,60,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-08-25,2024,60,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-08-12,2024,75,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-07-31,2024,75,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-07-25,2024,45,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-07-24,2024,60,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-07-23,2024,60,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-07-10,2024,75,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-07-07,2024,60,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-07-07,2024,45,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-06-22,2024,12,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-06-22,2024,45,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-06-22,2024,45,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-06-22,2024,0,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-06-22,2024,0,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-06-19,2024,45,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-06-19,2024,45,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-06-19,2024,30,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-06-15,2024,60,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-06-13,2024,3,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-06-13,2024,6,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-06-13,2024,15,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-06-11,2024,30,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-06-08,2024,9,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-06-08,2024,6,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-06-04,2024,6,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-06-03,2024,9,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-29,2024,45,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-05-28,2024,6,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-27,2024,12,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-27,2024,9,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-26,2024,0,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-26,2024,0,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-24,2024,6,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-24,2024,9,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-24,2024,3,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-24,2024,3,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-23,2024,12,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-23,2024,12,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-21,2024,30,problem
Kevin E.,https://www.mathraining.be/users/19949,2024-05-21,2024,9,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-20,2024,3,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-19,2024,9,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-17,2024,9,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-16,2024,9,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-16,2024,3,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-15,2024,6,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-14,2024,6,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-14,2024,9,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-12,2024,3,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-12,2024,3,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-11,2024,12,exercise
Kevin E.,https://www.mathraining.be/users/19949,2024-05-11,2024,6,exercise
